n_observations,flux_mean,flux_std,flux_median,flux_min,flux_max,flux_range,flux_skew,flux_kurtosis,flux_p25,flux_p75,flux_iqr,observation_duration,mean_time_interval,std_time_interval,flux_cv,flux_mad,flux_amplitude,flux_err_mean,flux_err_median,flux_trend_slope,flux_mean_u,flux_max_u,n_obs_u,flux_mean_g,flux_max_g,n_obs_g,flux_mean_r,flux_max_r,n_obs_r,flux_mean_i,flux_max_i,n_obs_i,flux_mean_z,flux_max_z,n_obs_z,flux_mean_y,flux_max_y,n_obs_y,color_g_r,color_r_i,color_i_z,object_id
154,0.4332709629791435,4.920591008573654,0.6269144091591281,-11.980642099659516,12.930682247062322,24.911324346721837,-0.10013228672761988,-0.1978358521133905,-2.7077607461973834,3.5081315345253956,6.2158922807227786,1777.6362999999983,11.618537908496721,34.75564004837,11.356844628451405,3.3258258355990264,12.455662173360919,5.0093085795013765,5.001966138269994,-0.05678597670175526,2.500673346714116,10.442974215615724,11,1.1932730600343129,9.543012552575558,14,-0.5117675290445446,9.813068643098262,34,0.3270040044883162,10.181119937569743,42,-0.2527874058388649,9.498662846982784,33,1.725920541807011,12.930682247062322,20,1.7050405890788576,-0.8387715335328607,0.5797914103271811,synthetic_0
151,0.5380541248182061,5.729712522588716,-0.2753378088352222,-16.852756856981834,17.355483334323296,34.20824019130513,0.34911163014490226,0.5116671147580454,-3.6401186494624085,4.061355065837956,7.701473715300365,2235.2200999999986,14.901467333333324,37.1247017446152,10.64895195167332,3.930997007080035,17.104120095652565,5.0269568312893815,5.002135606797829,0.4474521123468953,-0.8321804338430006,10.722136993617921,16,0.22215673252750337,17.355483334323296,14,2.0426285399758464,12.51856310314771,31,0.9407390115168597,16.569696798805303,37,-0.6414090221772976,14.838588377511154,33,0.7244267550063952,13.22679140336826,20,-1.820471807448343,1.1018895284589867,1.5821480336941574,synthetic_1
140,1.420842546145281,5.976188847799953,1.002137483644879,-13.905311920074634,18.64034966600198,32.54566158607662,0.07202480895586073,0.2989284609726419,-1.6329306359292417,5.364246484060883,6.997177119990124,2326.7891999999993,16.739490647482008,49.206324156054784,4.206088045444051,3.4521858765823215,16.27283079303831,5.036384757770441,5.003854987437119,4.052136114665362,0.9869793351054984,8.201831663411037,12,-1.3349620155031228,7.268549364048433,13,-0.6264446537677499,13.243898464531284,33,3.548064449477164,12.189529699281195,26,3.232317817040047,18.64034966600198,30,1.380083616051618,15.138022765909781,26,-0.7085173617353728,-4.1745091032449135,0.3157466324371172,synthetic_2
190,0.051065810345838784,4.803737098212367,-0.1473983505599467,-11.06532193760442,13.530725837459256,24.596047775063674,0.17870713484921913,-0.011584902461430069,-3.096225966186499,2.791478450132204,5.887704416318703,3057.1442000000025,16.17536613756615,40.50573283225081,94.06953626466462,2.9795472013163753,12.298023887531837,5.000679332150556,5.000145515941206,1.1750833754772212,-0.168918464119219,6.457971898147831,10,0.2726746335980046,8.770786434874747,11,-0.48913978662199337,12.18047586796625,41,0.9178606570604461,13.530725837459256,51,-1.0674310806733944,8.17407242101999,48,1.1335447327953583,9.796794472333541,29,0.7618144202199979,-1.4070004436824395,1.9852917377338404,synthetic_3
131,1.1077508575821573,5.849118329941593,1.1299191807772027,-17.527515723429072,17.972350557446926,35.499866280876,-0.07284752952920052,0.8088762228067767,-1.8849379170598106,4.267861862185084,6.152799779244894,1177.2725999999966,9.05594307692305,18.632768773423532,5.280174950808186,3.0397524365999877,17.749933140438,5.096063809448528,5.07394120360133,-3.787151061401064,0.6054992345502788,12.288761580326947,12,-0.3242284542239857,7.093856039401113,18,1.9634580026548902,17.972350557446926,32,0.3352837516792922,11.14822248146179,28,1.2063102813278366,15.425685853496962,24,2.500907989461543,9.548969600150121,17,-2.287686456878876,1.628174250975598,-0.8710265296485444,synthetic_4
179,-0.434385029768335,5.031791160658535,-0.3561126823422542,-11.865757964002325,13.366727282475283,25.23248524647761,0.10040058866135547,-0.26298466189071945,-3.6039402208755575,2.401632253774009,6.005572474649567,3056.698199999999,17.172461797752803,38.509535082664144,11.58371218120034,3.1905284981556807,12.616242623238804,5.0040025226547655,5.000000018878682,-1.936153426929705,-0.7019239174507516,9.862753469217747,9,0.48165603995999356,10.788994467337732,16,-0.04932450130195877,6.9718695786711065,43,0.4536910910871449,13.366727282475283,45,-1.8796571513138993,8.894523890177823,40,-0.8558831231237085,11.72728033848416,26,0.5309805412619524,-0.5030155923891036,2.333348242401044,synthetic_5
174,0.5246330834623028,5.122220910527767,0.29879806809321197,-12.474609843664426,14.254729003199598,26.729338846864025,0.08673976556855546,-0.23175913155147665,-2.9684631760246725,4.062858240097071,7.031321416121743,1651.7762999999977,9.547839884393051,32.93702564261333,9.76343481185708,3.547309919041821,13.364669423432012,5.025640789206066,5.004863794876334,-2.3171731222648293,0.2598444689702215,14.254729003199598,17,-0.2565153777353829,7.359313305112811,15,-0.526401319025638,8.76457023336922,40,0.7437198246735645,12.618911903162822,44,1.531831828726736,9.469518813038158,33,1.1399384537353618,12.76682016952629,25,0.2698859412902551,-1.2701211436992024,-0.7881120040531716,synthetic_6
130,1.2829709110530976,5.029234802548331,1.2567729303423505,-13.053145900439265,13.017098295867187,26.070244196306454,-0.041304675391448276,-0.09364087165461354,-2.0182709637902603,4.515404266723618,6.533675230513878,1786.2488000000012,13.84688992248063,30.606700969903255,3.919991294596225,3.2943693478944773,13.035122098153227,5.035087872232175,5.0050874678609745,-0.8377286646194572,0.3890014487810932,4.72755993670371,8,0.6144867280369072,13.017098295867187,16,2.1740908952310707,11.678940638750362,28,0.7759438383527213,11.786152626259833,39,2.1795197740361556,12.86886350671353,26,0.46450387006902105,9.726349637774497,13,-1.5596041671941636,1.3981470568783494,-1.4035759356834343,synthetic_7
129,-0.4337912267145917,4.62996814872196,-0.17668836469668514,-13.112079472068407,10.330871580394396,23.442951052462803,-0.1333272966959763,-0.3638198251691436,-4.071270024459812,3.1057477719030078,7.17701779636282,2158.9284000000043,16.866628125000034,44.72704123213309,10.673263689051502,3.4820246435311426,11.721475526231401,5.008192051287047,5.001152838914457,-0.7081175021545009,1.8500476994810304,8.71336642478289,9,-0.21312882497520091,6.046861084724629,9,-0.5231402956349421,8.541558834608988,35,0.5856082338710212,10.330871580394396,29,-1.6083994340524377,8.07999467922287,23,-1.3487866486902238,6.6451415355528365,24,0.3100114706597412,-1.1087485295059634,2.194007667923459,synthetic_8
180,-0.8371288688771481,5.247632996117146,-0.7938332292550085,-15.363197739147969,17.685195368269323,33.04839310741729,0.0907175914337853,0.27247350120774794,-4.385728605451011,2.6501986193319684,7.03592722478298,2195.158900000002,12.263457541899454,32.39861001870354,6.268608324493534,3.5464087158277886,16.524196553708645,5.008007740331194,5.000038799678782,0.5434577019826264,-1.7445813678215334,5.503672094874946,14,-2.283360919089604,3.331556200959441,18,-0.8602895900269919,7.463357261647921,43,0.15108195912066885,12.75149958890465,46,-0.16867163301918506,17.685195368269323,34,-1.9752417172204049,7.460321945749483,25,-1.423071329062612,-1.0113715491476607,0.3197535921398539,synthetic_9
