object_id,flux_ratio_u_g,flux_ratio_g_r,flux_ratio_r_i,flux_ratio_i_z,color_evolution_ug,max_flux_corrected,snr_peak,n_detections,rise_time,fade_time,asymmetry_ratio,flux_skewness,duration,Z,EBV,target,n_observations,flux_mean,flux_std,flux_median,flux_min,flux_max,flux_range,flux_skew,flux_kurtosis,flux_p25,flux_p75,flux_iqr,observation_duration,mean_time_interval,std_time_interval,flux_cv,flux_mad,flux_amplitude,flux_err_mean,flux_err_median,signal_to_noise_mean,flux_trend_slope,n_obs_u,flux_mean_u,flux_std_u,flux_max_u,n_obs_g,flux_mean_g,flux_std_g,flux_max_g,n_obs_r,flux_mean_r,flux_std_r,flux_max_r,n_obs_i,flux_mean_i,flux_std_i,flux_max_i,n_obs_z,flux_mean_z,flux_std_z,flux_max_z,n_obs_y,flux_mean_y,flux_std_y,flux_max_y,color_g_r,color_r_i,color_i_z,n_significant_detections,frac_significant_detections,n_peaks
Dornhoth_fervain_onodrim,2.9320913725031583,0.1039867185315541,0.4854944968481878,0.9576042384342042,,28.466473534495496,82.01327375487857,29,457.6993000000002,8.801899999998568,52.00005680592539,3.611140040725168,1254.2718999999995,3.049,0.11,0,65,0.9284827061538464,4.803444635408017,-0.36783976,-2.75628465,25.04734337,27.80362802,3.716601097986126,15.732256774695022,-1.28865838,0.98480425,2.27346263,1254.2718999999995,19.5979984375,43.65131547870111,5.173434683889635,1.0566974299999998,13.90181401,0.512436326,0.34709593,4.149514498537009,-1.6348776198494457,5,0.584014802,1.1433333640274184,2.62629444,6,-0.374378625,0.6792117865902414,0.98480425,16,1.07451512,3.237376957399469,10.49938934,15,2.111526962,6.333046076502661,22.95132322,12,1.2693932358333333,7.572197608513322,25.04734337,11,-0.4018446854545454,2.5832681310817223,5.86625017,-1.448893745,-1.0370118419999996,0.8421337261666664,16,0.2461538461538461,18
Dornhoth_galadh_ylf,0.8919040412046396,0.5036084566482457,0.5207465259906121,0.7351996904596073,,12.0549572167386,36.17835422663194,11,17.972900000000664,10.270300000003772,1.7499878289820223,4.313045912832593,2362.1559999999954,0.4324,0.058,0,167,0.3886215580838322,1.3714808590650234,0.09423679,-1.74708161,11.37549944,13.12258105,4.429631594792304,28.53285168594972,-0.09981713,0.442586895,0.542404025,2362.1559999999954,14.22985542168672,32.268294348531626,3.529091041236502,0.2788175699999999,6.561290525,0.5308325878443114,0.33320911,1.024883609032849,0.5607730404516997,15,0.0270154193333333,0.5642200451793207,1.06051365,16,0.1801970075,0.3621635656321477,1.25000955,35,0.2746845994285715,0.6575252631096373,2.62082436,37,0.3535917491891892,0.9678192914842448,5.19313886,35,0.5268137368571428,1.4903988907685448,7.22963913,29,0.7060717344827586,2.500888195680482,11.37549944,-0.0944875919285714,-0.0789071497606176,-0.1732219876679536,15,0.0898203592814371,55
Elrim_melethril_thul,0.4813556652152488,0.7841846509928061,0.7609840954886525,0.9403371399903164,,12.948563865886117,45.27550301018831,32,733.157100000004,318.8582999999999,2.2993194782761,-0.7157103471679316,1206.0218000000025,0.4673,0.577,0,35,1.6913472105714284,2.6409384093815387,1.07672354,-6.40081627,6.61791528,13.01873155,-0.3662330831599253,1.632327150573559,0.300355895,3.161687865,2.86133197,1206.0218000000025,35.471229411764774,78.57533357680629,1.5614407218546729,1.14366583,6.509365775,0.3148482080000001,0.28599492,6.251681172418941,1.3133790368691691,5,0.0060536339999999,0.3277046210022534,0.36762412,9,0.5429704288888888,0.4329344143023527,1.25593369,5,1.300821968,0.9711568234868646,2.75107717,6,2.6038305216666666,2.885927598293576,4.93863344,8,4.010965365000001,1.9506488357428649,6.61791528,2,0.0326672249999999,9.09831961193246,6.46615072,-0.7578515391111111,-1.303008553666667,-1.407134843333334,25,0.7142857142857143,11
Ithil_tobas_rodwen,1.1864308639245282,0.7423101976364183,0.8463028754726234,0.7465279095966265,,5.418469914466873,20.71246462245958,87,2468.8898000000045,8.592400000001362,287.33413248913143,-1.1558844155160528,2858.412899999996,0.6946,0.012,0,798,0.3753658160651629,0.8597592272776697,0.32739132,-7.64181817,5.35382124,12.99563941,-1.1604852738706184,14.859541342682355,-0.03509603,0.7294338175,0.7645298475,2858.412899999996,3.5864653701380123,13.75555033444141,2.2904569102489,0.376896525,6.497819705,0.4185316946365915,0.261604305,1.6571847374099264,0.5700983429277876,108,0.1529803225,0.4412873625697149,1.60790434,134,0.2785073785074626,0.3491503279725283,1.36933772,149,0.4348711855704698,0.5235337826856995,1.86556998,160,0.44572771975,0.6290632894811954,2.21872424,132,0.5311518760606062,0.7071604553988866,2.98638145,115,0.3432675497391304,1.806048691513174,5.35382124,-0.1563638070630071,-0.0108565341795301,-0.0854241563106062,171,0.2142857142857142,263
Mirion_adar_Druadan,0.3765212339364061,0.6665655078638106,0.449564814823868,2.03983321700959,,5.895708433954028,19.641408735741617,35,1069.1237000000035,364.4739999999947,2.9333332418773885,0.4586589400209969,2202.306500000006,0.4161,0.058,0,129,0.2338315717829457,1.146553675620301,0.30884466,-3.06039909,5.38446301,8.4448621,0.4534800488691851,2.5326916970372,-0.56571718,0.84217603,1.40789321,2202.306500000006,17.205519531250047,46.28905929381328,4.903331346053604,0.65670533,4.22243105,0.4315912024806202,0.30016729,0.888451595992433,-0.8565842904087316,13,-0.0140674123076923,0.4230085291328008,0.53041503,14,0.0462025835714285,0.8041147796617708,1.48095393,33,0.2095943278787878,1.078680133531313,2.34593682,28,0.3839420996428572,1.3502205870872488,5.38446301,27,0.296310367037037,1.099048370950365,2.70171627,14,0.2880672450000001,1.7043478962752368,2.37051937,-0.1633917443073592,-0.1743477717640693,0.0876317326058201,34,0.2635658914728682,39
Mirion_lalaith_neledh,0.6197566243343413,0.5659669490958127,0.8444080737015353,0.9545638671943492,,4.754544288190921,14.355341673440098,39,1870.6897000000024,17.48309999999765,106.99988560382624,-1.743897221490595,1998.8989999999976,1.197,0.054,0,119,1.0243888689075629,1.1678274285355028,0.84678859,-6.35179869,4.50454881,10.8563475,-1.7226653737371922,12.965983087029755,0.3618280499999999,1.698520765,1.336692715,1998.8989999999976,16.939822033898285,38.79511865578503,1.140023543774843,0.60048737,5.42817375,0.5208449340336135,0.33120384,3.749168321123284,0.7576261179326583,8,0.4222991875,0.3079184794953225,0.78536376,13,0.8061294192307693,0.3715851847348275,1.32760011,32,0.94779748875,0.5597363475954378,2.46754459,26,1.201017366153846,0.9819212678290046,3.00878969,20,1.3976030425,0.9485047957663564,3.22094153,20,0.926808372,2.2965140923383567,4.50454881,-0.1416680695192306,-0.2532198774038462,-0.1965856763461539,55,0.4621848739495798,38
Rochirrim_lebdas_pethron,1.9245797422425908,0.438934201962475,0.5596902741990242,1.1433306040250728,,2.4320672869119777,7.89354039711856,15,245.76369999999588,89.75710000000254,2.7380975989641927,0.8305984752706209,1615.6285999999964,0.1806,0.153,0,138,0.2597588066666667,0.5782337637444992,0.1479783399999999,-1.63261102,1.91451153,3.54712255,0.8957826497895209,1.799136255625693,-0.07929066,0.4334843725,0.5127750325,1615.6285999999964,11.792909489051068,35.48776727441129,2.2260410384719425,0.25615902,1.773561275,0.3880016753623188,0.30810855,1.0249604323944992,0.1526134851392778,11,0.0488688909090909,0.3604125455165098,0.6327496,15,0.0489794566666666,0.1413049333297802,0.37512773,27,0.2325496396296296,0.344762530898771,0.98646424,36,0.3303330258333333,0.6783037327360347,1.91451153,34,0.3949812735294117,0.6052930352957172,1.78036135,15,0.198284878,0.8827891559916435,1.76660961,-0.1835701829629629,-0.0977833862037036,-0.0646482476960784,17,0.1231884057971014,44
acharn_lend_Mithrim,0.7689985153148596,0.4432164725306522,1.224602258279114,1.071965272695309,,10.036138967787444,30.31936081520221,63,1469.9090999999971,,,0.4866056870494639,1469.9090999999971,0.1887,0.051,0,108,2.4140190522222222,2.327608483569167,2.0930537850000004,-2.26514845,9.53701062,11.80215907,0.542977957159839,0.1740765669129178,0.7134681975,4.0163018725,3.302833675,1469.9090999999971,13.737468224299038,33.709394450992185,0.9642046865481404,1.563001835,5.901079535,0.5046941926851852,0.3310142,8.383082691929847,2.811743281583676,7,1.269675692857143,1.0868070500644542,2.40994838,9,1.5676932777777777,1.3608103057612198,3.2747386,26,2.80581981,2.141027792020694,7.75046833,21,2.258867726190476,2.4397928579979484,6.50590459,26,2.430216606153846,2.305912954630348,6.19442464,19,2.8496799589473683,3.050443225253074,9.53701062,-1.2381265322222224,0.5469520838095243,-0.1713488799633702,74,0.6851851851851852,31
achas_iar_gaur,2.102058376784305,0.1898617914942239,1.6862436144388682,0.2580532728110835,,2.6216795872383587,8.437191955639918,14,937.8945000000022,525.3396999999968,1.7853105333558608,-1.3380069530155152,2466.4253000000026,1.238,0.046,0,162,0.068546267345679,0.7222002166266617,0.097322115,-4.26361499,2.48508022,6.748695209999999,-1.3887218903116958,8.469824137351049,-0.1298186,0.4110712675,0.5408898675,2466.4253000000026,15.319411801242252,39.9511751759892,10.535952497378211,0.256455075,3.374347605,0.4497656779629628,0.310728925,0.8256726372573372,0.2596968793723567,12,0.089024425,0.1545652020563646,0.3804469,12,0.0132636333333333,0.1044267844019251,0.18830926,40,0.5706452022499999,0.3300633999858676,1.03553624,36,0.01051279,0.3084145147186432,0.62957255,38,-0.0673650510526315,0.6789655562734627,2.48508022,24,-0.4486399158333333,1.3446715246237582,2.1131147,-0.5573815689166666,0.5601324122499999,0.0778778410526316,22,0.1358024691358024,50
aduial_nur_luith,0.8803846247932846,0.6491375934185767,0.8819074944536113,0.8301859497199312,,3.0115602308419924,9.362296660224107,12,2830.316500000001,,,0.6739024168527289,2830.316500000001,2.201,0.012,0,103,0.5112550545631069,0.8985348946039088,0.27381419,-1.84192211,2.9756288,4.81755091,0.6834239837861359,0.5823964159261705,-0.0408273049999999,1.074006305,1.11483361,2830.316500000001,27.748200980392166,58.584902526167006,1.7575080903048517,0.43791838,2.408775455,0.5264841231067962,0.32166896,1.5925523888872817,1.0985486845377506,5,0.396777506,0.4701435188569898,1.10195306,8,0.22591839875,0.4597522347860725,1.26468814,25,0.5454257564,0.7462995261114019,1.9703033,23,0.4819515878260869,0.7270933580015303,2.24867997,23,0.4378578117391303,1.1224124856474005,2.72170012,19,0.7408829368421053,1.1874897018104162,2.9756288,-0.31950735765,0.063474168573913,0.0440937760869565,22,0.2135922330097087,32
