object_id,oof_prob,target
Dornhoth_fervain_onodrim,0.043395207414669505,0
Dornhoth_galadh_ylf,0.004291568515660955,0
Elrim_melethril_thul,0.0024492675643620794,0
Ithil_tobas_rodwen,0.0021492502128221034,0
Mirion_adar_Druadan,0.017013833309794068,0
Mirion_lalaith_neledh,0.020161845824739594,0
Rochirrim_lebdas_pethron,0.7302814705938986,0
acharn_lend_Mithrim,0.006291730554252284,0
achas_iar_gaur,0.012519916523758003,0
aduial_nur_luith,0.02061860923654544,0
amath_gwador_helegnen,0.004135054857347805,0
amlug_loss_ang,0.014754694344737746,0
amon_imloth_luin,0.19642882806447096,1
andrann_puig_fern,0.0032265596687319625,0
ang_cugu_harad,0.014310568021462534,0
ang_neledh_aith,0.260048414929541,0
angos_rusc_curunir,0.0019950464460803236,0
annon_adab_lossen,0.003247659026953712,0
araf_hub_faun,0.018313691220246096,0
aras_ryn_manadh,0.0037260977227308503,0
badhor_graw_aiglos,0.0017552011657225408,0
badhor_magol_merilin,0.010423491087567101,0
badhor_onodrim_alagos,0.001660560221457088,0
baneth_pilin_tachol,0.039532121302651324,0
bragol_bronwe_lagor,0.004792341321112286,0
bragol_nothrim_gas,0.005497155295451349,0
celair_aerlinn_aes,0.6094189381686699,0
cirion_ira_Ithil,0.02021407989377026,0
corch_faun_min,0.26416242954024904,0
corf_Mirion_toll,0.020629257132019165,0
cuin_haudh_cenedril,0.28981702972608364,0
cuin_law_amon,0.09455058874127174,0
dam_corch_agar,0.002303084060521925,0
dirnaith_achas_noroth,0.024098327932395597,0
drafn_araf_ryn,0.6225511298229622,1
eilian_pilin_fang,0.011369729974148554,0
eilian_pod_firiel,0.16582438665761204,0
elu_rusc_nath,0.0956056504411397,1
elvellon_fast_annon,0.0184649416743264,0
ennorath_guldur_aear,0.0022745939859833957,0
erchion_ungol_aduial,0.0051210727837666175,0
espalass_melethron_ungol,0.0019423335695873435,0
espalass_nestad_hul,0.052539566720879324,0
